feature,importance
age,0.23130792761137584
chol,0.14287584853341453
oldpeak,0.10386496453849976
trestbps,0.08956369380913975
exang,0.08830205564254452
sex,0.07630524717478175
thalach,0.07417267527748554
cp,0.05306856920152553
thal,0.04704830933322535
ca,0.04070943218458483
restecg,0.0235016496374132
slope,0.020419613751736305
fbs,0.008860013304272931
